"Accession.name","BioSample","SRA","ID","Source","Continent","CIAT.code","DOI","Synonyms","Common.names","Organism","Genus","Species","Collection.status","Biological.status","CORE.collection","Country","Department","County","Place","Date.of.collection..dd.mm.yyyy.","Altitude..masl.","Latitude..decimal.","Longitude..decimal.","Donor.name","Institution","Donor.country","Collector.name","Date.of.receipt..dd.mm.yyyy.","Growth.habit","Plant.height..cm.","Flowering","Shape.of.leaf.lobe.central","Petiole.color","Developed.leaf.color","Number.of.leaf.lobes","Root.color","Dry.matter.content....","Total.HCN.content..ppm.","Total.sugars....","Total.amylose....","Clarity....","Temperature.pasting...C.","Maximum.viscosity","Breakdown..cP.","Easy.cooking..minutes."
"COL1005","SAMN47007407","SRR32633315","COL1005","This study","South America","COL 1005","10.18730/P8FEG","ANT-430, COL 1005","Palmire#A","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Copa Cabana","Gran.Avic.Camber","13-12-1969",1390,6.15,-75.4667,"","","","Alberto Angel","13-12-1969","Bush",210,"Present","Lanceolate","","","","Cream",29.48,67,2.75,22.45,74.2,63.4,487,373,1.79
"COL1008","SAMN47007408","SRR32689870","COL1008_1","This study","South America","COL 1008","10.18730/PBRA5","ANT-433, COL 1008","Negra","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Girardota","Juan De Gil","13-12-1969",1325,6.35,-75.4,"","","","Alberto Angel","13-12-1969","Bush",260,"Present","Elliptic-Lanceolate","","","","Cream",22.05,193,7.05,23.54,22.5,65.15,779,194,3.91
"COL1059","SAMN47007414","SRR32633314","COL1059","This study","South America","COL 1059","10.18730/PDVD6","ANT-484, COL 1059","Blanca","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Santo Domingo","Felix Foronda","19-12-1969",1060,6.4167,-75.1167,"","","","Alberto Angel","19-12-1969","Bush",190,"Present","Lanceolate","","","","White",15.4,104,12.17,21.43,28.4,66.75,828,200,3.75
"COL1062C","SAMN47007415","SRR32633313","COL1062C","This study","South America","COL 1062C","10.18730/PDVE7","ANT-487, COL 1062C","Zanca De Paba","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Gomez Plata","","19-12-1969",1830,6.6333,-75.2,"","","","Alberto Angel","19-12-1969","Bush",275,"Present","Lanceolate","","","","White",30.19,49,4.4,24.42,24,67.2,713,203,2.77
"COL1068B","SAMN47007417","SRR32633310","COL1068B","This study","South America","COL 1068B","10.18730/PAVSH","ANT-493","Amarilla","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Puerto Berrio","Lazaro Marin","20-12-1969",260,6.4667,-75.35,"","","","","20-12-1969","",NA,"Present","Oblong-Lanceolate","Green","Dark Green","Three Lobes","",30.96,110,2.9,19.09,25.75,69.35,685,228,2.54
"COL1072","SAMN47007419","SRR32633309","COL1072","This study","South America","COL 1072","10.18730/PBDT2","ANT-497, COL 1072","Punta De Lanza","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Puerto Berrio","Toribio Tabimba","25-12-1969",270,6.4667,-75.35,"","","","Alberto Angel","20-12-1969","Bush",250,"Absent","Lanceolate","","","","Cream",40.37,137,3.31,16.57,46.2,68.2,791,240,3.32
"COL1082","SAMN47007421","SRR32633308","COL1082","This study","South America","COL 1082","10.18730/PCH8T","ANT-507, COL 1082","Blanca","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Antioquia","Puerto Berrio","Abel Zapata","20-12-1969",305,6.4667,-75.35,"","","","Alberto Angel","20-12-1969","Bush",150,"Present","Lanceolate","","","","White",36.27,53,10.24,20.99,39.8,65.7,352,194,1.83
"COL1096","SAMN47007422","SRR32633307","COL1096","This study","South America","COL 1096","10.18730/P8FFH","COL 1096, CUN-388","Caucana","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cundinamarca","Viani","Corea(J.Diaz)","07-01-1970",1300,4.8167,-74.5167,"","","","Pablo Emilio Daza","07-01-1970","Bush",225,"Present","Lanceolate","","","","White",20.06,265,6.19,22.37,33.2,64.85,919,371,3.68
"COL1129","SAMN47007426","SRR32633306","COL1129","This study","South America","COL 1129","10.18730/P9RWA","COL 1129, CUN-421","Paliblanca","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cundinamarca","Paime","El Guamal","11-01-1970",1350,5.3333,-74.1667,"","","","Pablo Emilio Daza","11-01-1970","Bush",200,"Absent","Elliptic-Lanceolate","","","","White",21.18,104,6.4,24.27,12.5,64.25,740,163,3.91
"COL1292","SAMN47007449","SRR32633305","COL1292","This study","South America","COL 1292","10.18730/P84T9","BOY-351, COL 1292","Llanera","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Boyaca","San Luis De Gaceno","El Cable","05-02-1970",460,4.7167,-73.2333,"","","","Pablo Emilio Daza","05-02-1970","Bush",220,"Present","Lanceolate","","","","White",33.99,123,2.38,23.18,42.4,67.05,725,276,2.74
"COL130","SAMN47007450","SRR32633304","COL130","This study","South America","COL 130","10.18730/PCESN","COL 130, QUI-302","Sata","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Quindio","Pijao","El Morrosquillo","09-06-1969",1140,4.3333,-75.6833,"","","","Pablo Emilio Daza","09-06-1969","Bush",195,"Present","Elliptic-Lanceolate","","","","White",32.68,158,2.4,19.52,53.2,65.25,959,444,2.67
"COL1344","SAMN47007454","SRR32633303","COL1344","This study","South America","COL 1344","10.18730/PA4YT","COL 1344, SAN-418","","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Santander Del Sur","Enciso","El Recuerdo","15-03-1970",1720,6.6,-72.6333,"","","","Pablo Emilio Daza","12-02-1970","Bush",190,"Absent","Linear-Pandurate","","","","Yellow",20.54,72,10.5,23.91,34.3,62.55,881,234,4.43
"COL1398","SAMN47007458","SRR32633302","COL1398","This study","South America","COL 1398","10.18730/P9RN3","COL 1398, SAN-462","Patatortola","Manihot esculenta","Manihot","esculenta","","Landrace",1,"Colombia","Santander Del Sur","San Vicente De Chucuri","La Fortuna","18-03-1970",620,6.8167,-73.35,"","","","Pablo Emilio Daza","18-03-1970","Bush",245,"Absent","Elliptic-Lanceolate","","","","White",33.09,131,3.63,19.4,38.7,66.9,913,352,2.77
"COL1413","SAMN47007462","SRR32633301","COL1413","This study","South America","COL 1413","10.18730/PDV1Z","COL 1413, SAN-477","Cacota","Manihot esculenta","Manihot","esculenta","","Landrace",1,"Colombia","Santander Del Sur","Piedecuesta","Barro Blanco","20-03-1970",1000,6.9,-73.05,"","","","Pablo Emilio Daza","20-03-1970","Bush",145,"Present","Lanceolate","","","","White",39.21,60,3.09,21.13,50.3,66.05,855,279,3.42
"COL1477","SAMN47007469","SRR32633299","COL1477","This study","South America","COL 1477","10.18730/PC5JP","CMC 48","Morada","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Caldas","Chinchina","","01-08-1967",NA,4.9167,-75.55,"","INSTITUTO COLOMBIANO AGROPECUARIO","Colombia","Francisco Garcia","03-04-1970","",265,"Absent","Lanceolate","","","","White",28.93,283,4.25,21.43,51.8,65.3,541,236,2.09
"COL1480","SAMN47007471","SRR32633298","COL1480","This study","South America","COL 1480","10.18730/PAKKE","CMC 51","Amarilla","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Caldas","Chinchina","","01-08-1967",NA,4.9167,-75.55,"","INSTITUTO COLOMBIANO AGROPECUARIO","Colombia","Francisco Garcia","03-04-1970","",190,"Present","Lanceolate","","","","Yellow",32.77,285,2.54,18.25,56.4,64.45,714,306,2.18
"COL1487","SAMN47007474","SRR32633214","COL1487","This study","South America","COL 1487","10.18730/PBDBR","CMC 58","Parroquiana Blanca","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Caldas","Chinchina","","01-08-1967",NA,4.9167,-75.55,"","INSTITUTO COLOMBIANO AGROPECUARIO","Colombia","Francisco Garcia","08-04-1970","",180,"Present","Lanceolate","","","","Cream",31.45,186,3.49,22.15,39.1,66.25,839,390,2.09
