GENE,ATGENE,EVALUE,BITSCORE,Names,Description,DNA damage response GO:0006974,DNA metabolic process GO:0006259,biological process involved in interspec... GO:0044419,cell cycle GO:0007049,cell cycle process GO:0022402,cell death GO:0008219,cell recognition GO:0008037,cellular response to ionizing radiation GO:0071479,cellular response to iron ion GO:0071281,cellular response to stress GO:0033554,coumarin biosynthetic process GO:0009805,coumarin metabolic process GO:0009804,defense response GO:0006952,defense response to Gram-negative bacter... GO:0050829,defense response to bacterium GO:0042742,defense response to other organism GO:0098542,defense response to symbiont GO:0140546,detection of bacterium GO:0016045,detection of biotic stimulus GO:0009595,detection of external biotic stimulus GO:0098581,detection of other organism GO:0098543,double-strand break repair GO:0006302,immune response GO:0006955,immune response-activating signaling pat... GO:0002757,immune response-regulating signaling pat... GO:0002764,immune system process GO:0002376,innate immune response GO:0045087,innate immune response-activating signal... GO:0002758,mitotic cytokinesis GO:0000281,negative regulation of cell cycle GO:0045786,negative regulation of cell cycle proces... GO:0010948,pathogen-associated molecular pattern re... GO:0140426,pattern recognition receptor signaling p... GO:0002221,phosphate-containing compound metabolic ... GO:0006796,phosphorus metabolic process GO:0006793,phosphorylation GO:0016310,plant-type hypersensitive response GO:0009626,programmed cell death GO:0012501,protein desumoylation GO:0016926,protein phosphorylation GO:0006468,recognition of pollen GO:0048544,regulation of cell cycle GO:0051726,regulation of cell cycle process GO:0010564,regulation of defense response GO:0031347,regulation of immune response GO:0050776,regulation of immune system process GO:0002682,regulation of innate immune response GO:0045088,regulation of response to biotic stimulu... GO:0002831,regulation of response to external stimu... GO:0032101,regulation of response to stimulus GO:0048583,regulation of response to stress GO:0080134,response to bacterium GO:0009617,response to biotic stimulus GO:0009607,response to external biotic stimulus GO:0043207,response to external stimulus GO:0009605,response to oomycetes GO:0002239,response to other organism GO:0051707,response to stress GO:0006950,sideretin biosynthesis GO:0106146,symbiont-induced defense-related program... GO:0034050
Manes.01G000434.1,AT3G44326,4.31e-30,118,CFB; CYTOKININ-INDUCED F-BOX,Cytokinin induced F-Box protein. Forms a unique F-Box family with AT2G27310 and AT2G36090. It is primarily expressed in the root.,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,"","",""
Manes.01G000558.1,AT1G32960,0,940,ATSBT3.3; SBT3.3,Expression induced by pectin-related DAMPs (Damage Associated Molecular Patterns). Together with SBT3.5 contributes to the activation of defence-related PMEs and Botrytis resistance.  Influences the expression of specific defense genes and the structure of pectin against Botrytis. Secreted via Exocyst Positive Organelles (EXPOs) in the apoplast where it colocalizes with Pro-PME17.,"","",X,"","","","","","","","","",X,"",X,X,X,"","","","","",X,"","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.01G000600.1,AT2G39510,9.37e-87,266,UMAMIT14; USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 14,Encodes a plasma membrane-localized amino acid transporter likely involved in amino acid export in the developing seed.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","",""
Manes.01G002400.2,AT2G27030,4.76e-106,302,ACAM-2; CALMODULIN 5; CAM5CALMODULIN 5; CAM5,encodes a calmodulin that has higher affinity to kinesin-like calmodulin binding motor protein than CAM4 or CAM6. The mRNA is cell-to-cell mobile.,"","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","",X,X,X,"",X,X,"",""
Manes.01G004000.1,AT5G56040,0,1466,RGF1 INSENSITIVE 4; RGI4; SKM2; STERILITY-REGULATING KINASE MEMBER 2,Member of ROOT MERISTEM GROWTH FACTOR family of peptide ligands.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","","","","","","","","","",""
Manes.01G004100.1,AT3G13226,1.64e-80,249,"",regulatory protein RecX family protein;(source:Araport11),X,X,"","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","",X,"",""
Manes.01G004600.2,AT4G26530,0,612,ATFBA5; DEG22; FBA5; FRUCTOSE-BISPHOSPHATE ALDOLASE 5DEG22,Similar to fructose-bisphosphate aldolase,"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G006300.1,AT5G56170,5.72e-56,173,LLG1; LORELEI-LIKE-GPI-ANCHORED PROTEIN 1,LORELEI-LIKE-GPI-ANCHORED PROTEIN 1;(source:Araport11),"","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","",X,"","","","",""
Manes.01G007900.1,AT1G16220,0,603,"",Protein phosphatase 2C family protein;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","",""
Manes.01G009100.1,AT3G59940,7.59e-107,322,ATKFB50; KELCH REPEAT F-BOX 50; KFB50; KISS ME DEADLY 4; KMD4,"Encodes a member of a family of F-box proteins, called the KISS ME DEADLY (KMD) family, that targets type-B ARR proteins for degradation and is involved in the negative regulation of the cytokinin response. Also named as KFB50, a member of a group of Kelch repeat F-box proteins that negatively regulate phenylpropanoid biosynthesis by targeting the phenypropanoid biosynthesis enzyme phenylalanine ammonia-lyase. The mRNA is cell-to-cell mobile.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","",X,"",""
Manes.01G011184.2,AT4G23180,5.51e-118,360,CRK10; CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 10; RLK4,Encodes a receptor-like protein kinase. Naming convention from Chen et al 2003 (PMID 14756307)The mRNA is cell-to-cell mobile.Encodes a receptor-like protein kinase. Naming convention from Chen et al 2003 (PMID 14756307) The mRNA is cell-to-cell mobile.,"","",X,"","",X,"","","",X,"","",X,"",X,X,X,"","","","","",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","",X,X,X,X,"",X,X,"",X
Manes.01G012700.1,AT3G25800,0,1090,PDF1; PP2AA2; PR 65; PROTEIN PHOSPHATASE 2A  SUBUNIT A2,one of three genes encoding the protein phosphatase 2A regulatory subunit,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","","","","","","","","","","","",X,"","","","","","","","","",""
Manes.01G013225.1,AT1G16130,0,576,WAKL2; WALL ASSOCIATED KINASE-LIKE 2,Encodes a WAK-like receptor-like kinase with a cytoplasmic Ser/Thr protein kinase domain and an extracellular domain with EGF-like repeats.,"","",X,"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.01G015800.1,AT1G17980,0,929,PAPS1; POLY(A) POLYMERASE 1,Encodes a poly(A) polymerase. Located in the nucleus.  It limits founder-cell recruitment to organ primordia and suppresses the salicylic acid-independent immune response downstream of EDS1/PAD4. It also mediates pollen maturation by regulating sperm cell differentiation.,"","",X,"","","","","","","","","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","","","","","","","","","","","",X,X,X,X,X,X,X,X,"",X,X,X,"",X,X,"",""
Manes.01G017151.1,AT3G14470,2.27e-100,328,LEUCINE RICH REPEAT PROTEIN 1; LRR4,NB-ARC domain-containing disease resistance protein;(source:Araport11),"","",X,"","","","","","","","","",X,X,X,X,"","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","",X,X,"","","",X,"",X,X,X,X,"",X,X,"",""
Manes.01G017700.1,AT2G30720,0,632,"",Thioesterase/thiol ester dehydrase-isomerase superfamily protein;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.01G018100.1,AT1G05675,7.81e-160,460,"",UDP-Glycosyltransferase superfamily protein;(source:Araport11),"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","",X,"",""
Manes.01G018900.2,AT5G48380,3.89e-144,431,BAK1-INTERACTING RECEPTOR-LIKE KINASE 1; BIR1,"Encodes a BAK1-interacting receptor-like kinase named BIR1.  Negatively regulates multiple plant resistance signaling pathways, one of which is the SOBIR1(AT2G31880)-dependent pathway.","","",X,"","",X,"","","",X,"","",X,"",X,X,X,"","","","","",X,"","",X,X,"","","","","","",X,X,X,X,X,"",X,"","","",X,X,X,X,X,X,X,X,X,X,X,X,"",X,X,"",X
Manes.01G027900.2,AT2G03590,0,549,ATUPS1; UPS1; UREIDE PERMEASE 1,Encodes a member of a class of allantoin transporters.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G028800.3,AT1G26520,0,526,"",Cobalamin biosynthesis CobW-like protein;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","",X,"",""
Manes.01G039120.1,AT2G34930,5.17e-140,435,"",disease resistance family protein / LRR family protein;(source:Araport11),"","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,X,X,"",""
Manes.01G041700.1,AT1G73080,0,686,ATPEPR1; PEP1 RECEPTOR 1; PEPR1,Encodes a leucine-rich repeat receptor kinase.  Functions as a receptor for AtPep1 to amplify innate immunity response to pathogen attacks. The mRNA is cell-to-cell mobile.,"","",X,"","","","","","","","","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","",X,X,X,"","","",X,"","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.01G044900.1,AT1G15530,1.1e-36,139,L-TYPE LECTIN RECEPTOR KINASE S.1; LECRK-S.1,Concanavalin A-like lectin protein kinase family protein;(source:Araport11),"","",X,"","","","","","","","","",X,"",X,X,"","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","",X,X,X,X,X,X,X,"",""
Manes.01G048900.1,AT4G23900,7.97e-138,386,"",Nucleoside diphosphate kinase family protein;(source:Araport11),"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G049300.11,AT4G23895,7.21e-106,305,"",Pleckstrin homology (PH) domain-containing protein;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.01G059600.1,AT4G00430,0,527,PIP1;4; PIP1E; PLASMA MEMBRANE INTRINSIC PROTEIN 1;4; PLASMA MEMBRANE INTRINSIC PROTEIN 1E; TMP-C; TRANSMEMBRANE PROTEIN C,"a member of the plasma membrane intrinsic protein subfamily PIP1. involved redundantly with PIP1;1/2/3/5 in hydraulics and carbon fixation, regulates the expression of related genes that affect plant growth and development.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
